, face_id, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.88,1,0.0,0.82,0.0,0.0,1.56,0.85,0.0,0.33,1.32,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.57,0,0.0,0.27,0.0,0.0,0.52,0.28,0.0,0.11,0.44,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.03,0,0.03,0.0,0.15,0.0,0.27,1.01,0.15,0.0,0.06,0.0,0.0,0.28,0.0,0.0,0.15,0.21,0.18
3,0,0.88,1,0.03,0.0,0.42,0.0,0.72,1.67,0.21,0.18,0.3,0.12,0.27,0.61,0.23,0.0,0.95,0.53,0.5
4,0,0.93,1,0.1,0.0,0.64,0.0,1.02,2.61,0.4,0.18,0.3,0.12,0.27,0.87,0.23,0.0,0.98,0.81,0.5
5,0,0.88,1,0.07,0.0,0.49,0.0,1.11,2.41,0.33,0.18,0.39,0.12,0.49,0.63,0.23,0.0,1.25,0.64,0.33
6,0,0.88,1,0.07,0.0,0.35,0.0,1.08,2.07,0.27,0.38,0.56,0.06,0.6,0.43,0.06,0.0,1.07,0.79,0.0
7,0,0.88,1,0.07,0.0,0.4,0.28,1.11,1.5,0.09,0.75,1.19,0.16,1.25,0.59,0.06,0.4,1.69,0.76,0.0
8,0,0.88,1,0.29,0.23,0.76,0.28,1.08,0.87,0.0,1.62,1.65,0.69,1.53,1.38,0.06,0.6,1.9,0.73,0.41
9,0,0.88,1,0.46,0.43,0.95,0.57,0.85,0.7,0.0,1.43,1.93,1.7,1.28,2.77,0.0,1.55,1.61,0.71,0.41
10,0,0.88,1,0.39,0.43,0.69,0.29,1.0,0.67,0.0,1.27,1.78,2.75,0.63,2.42,0.0,1.15,0.96,0.46,0.41
11,0,0.88,1,0.32,0.46,0.54,0.55,0.83,0.73,0.0,0.54,1.86,2.7,0.13,2.73,0.0,1.23,0.32,0.52,0.0
12,0,0.88,1,0.14,0.25,0.21,0.26,1.26,1.32,0.0,0.66,1.71,2.37,0.0,1.22,0.1,0.28,0.12,0.06,0.0
13,0,0.98,1,0.14,0.25,0.21,0.26,1.62,1.58,0.0,1.25,2.14,1.5,0.0,1.42,0.41,0.28,0.12,0.06,0.0
14,0,0.88,1,0.0,0.0,0.0,0.0,2.2,2.16,0.0,1.34,1.9,1.02,0.0,0.26,0.41,0.0,0.72,0.0,0.06
15,0,0.88,1,0.0,0.0,0.0,0.0,2.33,2.53,0.0,1.4,1.88,0.47,0.0,0.26,0.32,0.0,1.06,0.0,0.36
16,0,0.93,1,0.0,0.0,0.0,0.0,1.85,2.58,0.0,0.87,1.01,0.19,0.0,0.19,0.0,0.0,1.06,0.46,0.47
17,0,0.98,1,0.15,0.0,0.05,0.0,1.29,2.29,0.0,0.64,0.7,0.19,0.11,0.85,0.0,0.75,0.47,1.41,0.41
18,0,0.88,1,0.15,0.0,0.05,0.0,0.54,1.19,0.0,0.26,0.18,0.0,0.11,0.85,0.0,0.75,0.0,1.41,0.11
19,0,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
