, face_id, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.98,1,0.0,0.0,0.78,0.0,2.4,1.1,0.12,1.86,2.41,2.2,0.0,0.33,0.27,0.0,0.8,0.93,0.0
1,0,0.98,1,0.0,0.0,0.9,0.0,2.71,0.62,0.07,1.93,2.3,2.01,0.02,0.12,0.09,0.0,0.65,0.68,0.02
2,0,0.98,1,0.06,0.02,0.97,0.0,2.83,0.54,0.09,1.91,2.13,1.87,0.05,0.2,0.03,0.0,0.38,0.75,0.04
3,0,0.98,1,0.06,0.02,0.96,0.0,2.81,0.55,0.09,1.97,2.16,1.97,0.05,0.33,0.03,0.0,0.15,0.8,0.06
4,0,0.98,1,0.06,0.02,1.0,0.0,2.65,0.59,0.06,1.97,2.14,1.99,0.09,0.43,0.04,0.0,0.05,0.83,0.04
5,0,0.98,1,0.0,0.0,1.1,0.0,2.61,0.48,0.07,1.89,2.19,1.93,0.07,0.27,0.01,0.0,0.07,0.62,0.06
6,0,0.98,1,0.0,0.0,1.1,0.0,2.59,0.74,0.11,1.83,2.18,1.76,0.14,0.14,0.01,0.0,0.35,0.74,0.11
7,0,0.98,1,0.0,0.0,1.02,0.0,2.57,0.44,0.19,1.87,2.13,1.6,0.2,0.03,0.0,0.0,0.57,0.82,0.11
8,0,0.98,1,0.0,0.0,0.77,0.0,2.4,0.41,0.2,1.97,1.96,1.42,0.22,0.12,0.1,0.01,0.56,0.86,0.17
9,0,0.98,1,0.0,0.0,0.7,0.0,2.16,0.3,0.16,1.77,1.52,1.3,0.14,0.3,0.1,0.06,0.28,0.69,0.15
10,0,0.98,1,0.16,0.01,0.85,0.0,2.14,0.73,0.09,1.77,1.67,1.48,0.06,0.3,0.1,0.06,0.32,0.57,0.23
11,0,0.98,1,0.16,0.01,0.98,0.0,2.03,0.6,0.0,1.37,1.48,1.28,0.26,0.46,0.0,0.22,0.31,0.77,0.18
12,0,0.98,1,0.16,0.01,1.1,0.0,2.11,0.76,0.04,1.32,1.45,1.29,0.37,0.67,0.07,0.31,0.31,0.95,0.15
13,0,0.98,1,0.0,0.0,1.0,0.0,1.99,0.51,0.04,1.01,1.02,0.89,0.52,0.73,0.14,0.31,0.07,1.22,0.07
14,0,0.98,1,0.0,0.03,1.13,0.0,2.01,0.58,0.09,1.2,0.94,1.01,0.3,0.73,0.14,0.14,0.16,1.12,0.03
15,0,0.98,1,0.0,0.06,1.2,0.0,2.01,0.53,0.18,1.23,0.97,1.07,0.36,0.61,0.22,0.04,0.16,1.24,0.0
16,0,0.98,1,0.0,0.06,1.14,0.0,1.95,0.42,0.21,1.17,0.92,1.06,0.35,0.8,0.25,0.07,0.09,1.16,0.0
17,0,0.98,1,0.0,0.03,0.99,0.0,2.02,0.45,0.17,1.13,1.1,1.31,0.35,0.56,0.28,0.07,0.0,0.95,0.0
18,0,0.98,1,0.0,0.0,0.88,0.0,2.05,0.36,0.08,1.13,1.22,1.34,0.18,0.44,0.13,0.03,0.0,0.46,0.0
19,0,0.98,1,0.0,0.0,0.84,0.0,2.09,0.27,0.04,1.15,1.32,1.4,0.0,0.36,0.03,0.0,0.2,0.11,0.01
20,0,0.98,1,0.0,0.0,0.81,0.0,2.11,0.18,0.05,1.13,1.41,1.34,0.0,0.49,0.0,0.0,0.35,0.01,0.1
21,0,0.98,1,0.07,0.0,0.96,0.0,2.25,0.45,0.01,1.51,1.8,1.6,0.0,0.34,0.0,0.0,0.6,0.16,0.15
22,0,0.98,1,0.07,0.0,0.92,0.0,2.36,0.45,0.01,1.66,1.87,1.57,0.0,0.24,0.0,0.0,0.48,0.16,0.21
23,0,0.98,1,0.07,0.0,0.98,0.0,2.43,0.71,0.0,1.75,1.9,1.57,0.0,0.14,0.0,0.0,0.47,0.16,0.13
24,0,0.98,1,0.0,0.0,0.78,0.0,2.37,0.35,0.0,1.38,1.65,1.38,0.0,0.27,0.0,0.0,0.22,0.0,0.07
25,0,0.98,1,0.08,0.0,0.88,0.0,2.5,0.82,0.07,1.26,1.68,1.67,0.0,0.19,0.0,0.0,0.32,0.0,0.06
26,0,0.93,1,0.1,0.04,0.98,0.0,2.62,1.14,0.1,1.24,1.77,1.66,0.0,0.13,0.0,0.0,0.27,0.0,0.07
27,0,0.93,1,0.12,0.04,1.11,0.0,2.74,1.5,0.14,1.27,1.83,1.59,0.0,0.0,0.0,0.0,0.32,0.03,0.07
28,0,0.98,1,0.13,0.05,1.06,0.0,2.77,1.52,0.2,1.39,1.89,1.5,0.0,0.01,0.0,0.0,0.2,0.2,0.01
29,0,0.93,1,0.17,0.12,0.88,0.01,2.78,1.14,0.18,1.36,1.95,1.49,0.14,0.01,0.0,0.0,0.32,0.23,0.0
30,0,0.93,1,0.35,0.23,0.8,0.22,2.61,0.82,0.13,1.39,1.89,1.64,0.37,0.15,0.0,0.0,0.92,0.25,0.0
31,0,0.98,1,0.55,0.22,0.64,0.53,2.16,0.33,0.0,1.05,1.67,1.5,0.63,0.49,0.0,0.0,0.85,0.16,0.0
32,0,0.98,1,0.64,0.15,0.86,0.52,2.08,0.47,0.0,1.41,1.89,1.72,0.51,0.49,0.0,0.0,0.88,0.38,0.18
33,0,0.98,1,0.71,0.03,0.68,0.5,1.82,0.36,0.0,0.94,1.57,1.25,0.49,0.91,0.0,0.2,0.24,0.62,0.18
34,0,0.98,1,0.83,0.03,0.6,0.5,1.83,0.36,0.0,0.78,1.53,1.12,0.51,1.14,0.0,0.31,0.24,0.96,0.18
35,0,0.98,1,1.02,0.15,0.18,0.5,1.39,0.0,0.0,0.05,0.96,0.9,0.6,1.53,0.0,0.41,0.0,0.97,0.0
36,0,0.98,1,0.76,0.15,0.09,0.32,1.58,0.17,0.0,0.34,1.25,1.33,0.39,1.15,0.0,0.43,0.0,0.68,0.0
37,0,0.98,1,0.34,0.15,0.17,0.0,1.91,0.46,0.0,0.79,1.62,1.5,0.24,0.92,0.0,0.4,0.0,0.27,0.0
38,0,0.98,1,0.01,0.0,0.16,0.0,2.44,0.97,0.0,1.32,2.08,1.57,0.15,0.83,0.0,0.3,0.11,0.03,0.0
39,0,0.98,1,0.0,0.0,0.25,0.0,2.6,0.9,0.0,1.53,2.31,1.63,0.27,0.77,0.0,0.08,0.41,0.11,0.0
40,0,0.98,1,0.01,0.09,0.12,0.0,2.72,0.62,0.0,1.9,2.45,1.94,0.14,0.43,0.0,0.0,0.58,0.11,0.0
41,0,0.98,1,0.01,0.09,0.11,0.0,2.6,0.11,0.0,1.9,2.47,2.18,0.12,0.18,0.0,0.0,0.68,0.09,0.0
42,0,0.98,1,0.01,0.11,0.09,0.0,2.69,0.12,0.0,1.9,2.53,2.39,0.0,0.22,0.0,0.0,0.56,0.09,0.22
43,0,0.98,1,0.11,0.02,0.44,0.0,2.54,0.46,0.0,1.75,2.55,2.24,0.02,0.22,0.0,0.0,0.66,0.36,0.22
44,0,0.98,1,0.31,0.31,0.44,0.0,2.71,0.99,0.0,1.59,2.61,2.23,0.02,0.46,0.0,0.0,0.68,0.49,0.22
45,0,0.98,1,0.47,0.47,0.65,0.0,2.68,1.23,0.0,1.42,2.63,2.14,0.02,0.43,0.0,0.0,0.71,0.54,0.01
46,0,0.98,1,0.36,0.47,0.44,0.0,2.8,1.24,0.0,1.33,2.64,2.34,0.0,0.47,0.0,0.03,0.44,0.27,0.11
47,0,0.98,1,0.16,0.18,0.6,0.1,2.89,1.07,0.0,1.44,2.65,2.4,0.0,0.34,0.0,0.06,0.22,0.14,0.11
48,0,0.98,1,0.0,0.06,0.42,0.1,3.0,1.1,0.0,1.65,2.67,2.48,0.06,0.3,0.0,0.06,0.0,0.0,0.11
49,0,0.98,1,0.02,0.06,0.48,0.1,3.05,1.02,0.0,1.65,2.69,2.53,0.06,0.26,0.0,0.03,0.22,0.0,0.0
50,0,0.98,1,0.02,0.06,0.48,0.13,2.94,0.79,0.0,1.75,2.63,2.61,0.2,0.3,0.05,0.0,0.39,0.0,0.0
51,0,0.98,1,0.04,0.0,0.59,0.21,2.94,0.68,0.0,1.82,2.57,2.69,0.25,0.42,0.11,0.0,0.63,0.0,0.0
52,0,0.98,1,0.02,0.03,0.64,0.26,2.99,0.67,0.0,1.89,2.55,2.66,0.32,0.58,0.11,0.01,0.65,0.0,0.0
53,0,0.98,1,0.16,0.03,0.7,0.12,3.07,0.69,0.0,1.83,2.49,2.62,0.33,0.76,0.06,0.07,0.51,0.0,0.0
54,0,0.98,1,0.29,0.03,0.97,0.05,2.78,0.72,0.0,1.67,2.38,2.3,0.29,0.64,0.0,0.07,0.3,0.09,0.0
55,0,0.98,1,0.4,0.0,0.77,0.0,2.74,0.46,0.0,1.58,2.21,2.21,0.22,0.63,0.06,0.07,0.2,0.09,0.0
56,0,0.98,1,0.47,0.0,0.86,0.02,2.75,0.39,0.0,1.66,2.36,2.2,0.07,0.45,0.19,0.04,0.24,0.09,0.01
57,0,0.98,1,0.39,0.0,0.39,0.2,2.96,0.11,0.0,1.76,2.64,2.46,0.0,0.55,0.19,0.04,0.41,0.02,0.01
58,0,0.98,1,0.28,0.0,0.47,0.2,3.06,0.18,0.0,1.98,2.9,2.51,0.0,0.72,0.14,0.19,0.58,0.08,0.01
59,0,0.98,1,0.06,0.0,0.56,0.18,3.11,0.39,0.0,1.99,2.95,2.53,0.0,0.81,0.01,0.31,0.92,0.11,0.0
60,0,0.98,1,0.0,0.0,0.81,0.0,3.29,0.97,0.0,2.03,2.97,2.38,0.0,0.69,0.14,0.4,0.93,0.35,0.0
61,0,0.98,1,0.0,0.0,0.89,0.0,3.4,1.42,0.0,1.99,2.96,2.37,0.0,0.43,0.33,0.26,0.99,0.55,0.0
62,0,0.98,1,0.03,0.0,0.67,0.0,3.34,1.47,0.0,2.09,3.02,2.47,0.0,0.41,0.42,0.11,0.71,0.52,0.0
63,0,0.98,1,0.03,0.0,0.77,0.0,3.25,1.15,0.0,2.23,2.91,2.82,0.0,0.68,0.42,0.13,0.8,0.4,0.13
64,0,0.98,1,0.03,0.0,0.85,0.06,3.2,1.29,0.09,2.09,2.81,2.87,0.0,0.84,0.39,0.14,0.43,0.43,0.13
65,0,0.98,1,0.0,0.0,0.87,0.06,2.92,1.16,0.1,1.95,2.54,2.59,0.0,0.68,0.41,0.19,0.29,0.95,0.13
66,0,0.98,1,0.0,0.0,0.82,0.06,2.73,1.17,0.1,1.91,2.41,2.23,0.05,0.32,0.3,0.07,0.0,1.2,0.0
67,0,0.98,1,0.07,0.0,0.74,0.0,2.47,0.65,0.01,1.97,2.27,1.93,0.05,0.1,0.14,0.05,0.05,1.1,0.01
68,0,0.98,1,0.21,0.0,0.7,0.0,2.59,0.42,0.0,2.02,2.2,1.65,0.0,0.0,0.0,0.0,0.15,0.57,0.04
