,video,frame,featureName,x,y
0,6,1,contempt,4.413802,7.342317
1,6,2,disgust,4.361267,7.334222
2,6,3,disgust,4.4396257,7.306389
3,6,4,sad,4.471745,7.173802
4,6,5,sad,4.546466,7.11486
5,6,6,sad,4.5258436,7.1413
6,6,7,sad,4.721875,7.3517985
7,6,8,sad,4.8265543,7.655305
8,6,9,pleased,4.6370964,7.907081
9,6,10,pleased,4.3601832,8.293008
10,6,11,contempt,4.355658,8.003995
11,6,12,contempt,4.3940625,8.013988
12,6,13,contempt,4.5204964,7.7672796
13,6,14,contempt,4.495216,7.7993927
14,6,15,pleased,4.4196124,7.787497
15,6,16,pleased,4.4456234,7.759117
16,6,17,pleased,4.4619737,7.7203445
17,6,18,contempt,4.3853583,7.6647263
18,6,19,contempt,4.3425593,7.5534854
19,6,20,contempt,4.387083,7.4004354
20,6,21,contempt,4.405446,7.378289
21,6,22,contempt,4.402958,7.3940616
22,6,23,contempt,4.492047,7.3284783
23,40,1,laughing,3.7346625,8.763883
24,40,2,sad,3.6222396,8.7254095
25,40,3,disgust,5.090051,6.6961374
26,40,4,sad,5.215928,6.7460914
27,40,5,sad,5.159882,7.1247234
28,40,6,sad,3.9827795,8.07619
29,40,7,pleased,3.6831532,7.6726727
30,40,8,pleased,3.8266833,7.4709473
31,40,9,angry,3.8142831,7.3214417
32,40,10,angry,3.916127,7.330102
33,40,11,sad,3.6679144,8.221557
34,40,12,contempt,3.5532053,8.280022
35,40,13,sad,6.4139647,6.5600324
36,40,14,disgust,6.664133,6.4615273
37,40,15,disgust,6.4272556,6.5122457
38,40,16,contempt,3.3671527,8.497278
39,40,17,pleased,2.8525977,8.986324
40,40,18,pleased,2.8943143,8.916949
41,40,19,disgust,2.9353745,8.844591
42,40,20,disgust,3.1260197,8.82986
43,40,21,disgust,3.0961823,8.837934
44,40,22,disgust,2.9598153,8.829083
45,41,1,sad,3.7204769,9.333384
46,41,4,contempt,6.1647944,6.0537214
47,41,5,contempt,6.1466665,6.003155
48,41,6,contempt,6.168576,5.9716687
49,41,7,contempt,6.1187477,6.019
50,41,8,angry,6.6469364,6.088573
51,41,9,laughing,6.787077,6.09938
52,41,10,laughing,5.6249933,9.864541
53,41,11,laughing,5.525265,9.66974
54,41,12,laughing,5.587289,9.702042
55,41,13,pleased,3.5696044,8.574636
56,41,14,pleased,3.2903702,8.601957
57,41,15,contempt,3.0975325,8.005683
58,41,16,contempt,2.9748461,8.031612
59,41,17,contempt,4.489564,7.104267
60,41,18,contempt,5.19478,7.84255
61,41,19,contempt,13.008909,8.706821
62,7,1,disgust,6.277986,8.088366
63,7,2,disgust,7.400805,7.833804
64,7,3,disgust,7.3735633,7.8774166
65,7,4,disgust,7.3908653,7.872444
66,7,5,disgust,7.4664297,7.968073
67,7,6,disgust,7.422198,8.051676
68,7,7,disgust,7.3717833,8.257922
69,7,8,contempt,7.2752385,8.372742
70,7,9,contempt,7.2438817,8.314459
71,7,10,contempt,7.11248,8.165895
72,7,11,pleased,5.9060163,8.1445265
73,7,12,pleased,5.8211946,8.096563
74,7,13,pleased,5.8951087,8.052217
75,7,14,contempt,6.021871,7.7674384
76,7,15,contempt,6.2417483,7.963981
77,7,16,contempt,6.4014935,8.028162
78,7,17,contempt,6.3773036,8.013393
79,7,18,contempt,6.2574167,8.104831
80,7,19,contempt,6.1307807,8.307268
81,7,20,contempt,6.0289025,8.519314
82,7,21,pleased,6.0354366,8.540982
83,7,22,angry,6.0043025,8.17541
84,7,23,angry,6.0643,8.15669
85,7,24,sad,6.3352623,8.053063
86,7,25,disgust,6.581787,8.071853
87,7,26,sad,6.7232018,8.133915
88,7,27,contempt,6.123694,7.893631
89,7,28,contempt,4.424575,7.387728
90,43,1,pleased,5.371785,6.833317
91,43,2,pleased,5.3287683,7.0161343
92,43,3,pleased,5.3442717,7.1042976
93,43,4,disgust,5.30027,7.02282
94,43,5,disgust,5.2582793,6.919723
95,43,6,contempt,5.332682,7.0351977
96,43,7,contempt,5.259591,6.963308
97,43,8,contempt,5.2308397,7.0004187
98,43,9,contempt,5.124092,6.797663
99,43,10,contempt,5.012746,6.793958
100,43,11,pleased,5.1917973,6.8584385
101,43,12,pleased,5.149976,6.887998
102,43,13,pleased,5.1487546,6.9277153
103,43,14,contempt,4.464986,6.6542716
104,43,15,contempt,4.463836,6.6727138
105,43,16,contempt,6.4864407,5.4552526
106,43,17,angry,6.588347,5.6212015
107,43,18,angry,6.558683,5.651778
108,43,19,contempt,6.439134,5.7012386
109,43,21,contempt,5.133351,4.5589833
110,43,22,angry,5.13949,4.5756683
111,43,23,angry,5.9560494,8.697903
112,43,28,angry,9.992413,8.987122
113,43,29,angry,9.925399,9.110156
114,43,30,angry,9.941477,9.095531
115,43,31,pleased,9.890702,9.085982
116,43,32,disgust,5.796822,7.7416706
117,43,33,contempt,5.6206107,5.351116
118,5,1,disgust,9.022558,8.751034
119,5,2,grin,12.778021,6.155524
120,5,3,contempt,12.941785,6.157216
121,5,4,contempt,13.276934,6.120811
122,5,5,grin,13.295176,6.1306667
123,5,6,grin,13.239505,6.1966534
124,5,7,grin,13.05583,6.1014624
125,5,8,grin,13.005928,6.1684523
126,5,9,grin,12.939969,6.1775026
127,5,10,grin,12.9545145,6.1682777
128,5,11,grin,12.793507,6.206727
129,5,12,grin,12.784986,6.144641
130,5,13,grin,11.831709,5.7911386
131,5,14,grin,11.513999,5.779091
132,5,15,grin,9.955592,5.952432
133,5,16,grin,9.829931,6.0581512
134,5,17,grin,9.551961,6.448891
135,5,18,grin,10.449521,8.0251875
136,5,19,upset,10.408219,8.106387
137,5,20,upset,8.952167,10.7522
138,5,21,upset,8.903808,10.745762
139,5,22,upset,8.927848,10.789648
140,5,23,disgust,10.282208,8.070312
141,5,24,grin,12.471086,6.8372
142,5,25,grin,11.490049,5.710267
143,5,26,grin,11.503925,5.7148647
144,5,27,grin,11.4461565,5.673594
145,5,28,grin,11.429698,5.619805
146,5,29,grin,11.400061,5.6190133
147,5,30,grin,11.524604,5.529852
148,5,31,grin,11.459219,5.5780563
149,5,32,grin,11.286478,5.878206
150,5,33,grin,11.241245,5.946987
151,5,34,grin,11.278707,5.757767
152,5,35,grin,11.129198,5.26764
153,5,36,grin,11.094188,5.0071735
154,5,37,grin,11.125537,4.823397
155,5,38,grin,11.172871,4.8147855
156,5,39,grin,11.200189,4.8197403
157,5,40,grin,11.181928,4.818144
158,5,41,grin,11.31673,4.839352
159,5,42,grin,12.098335,5.235969
160,5,43,grin,11.769873,5.6800523
161,5,44,grin,11.715099,5.8001575
162,5,45,grin,12.946977,6.086204
163,5,46,grin,13.1591425,6.316064
164,5,47,grin,13.131242,6.3896914
165,5,48,grin,11.444521,6.1022267
166,5,49,grin,11.564655,6.1665034
167,5,50,grin,11.56617,6.1954455
168,5,51,grin,11.612259,6.3445616
169,5,52,grin,11.592578,6.614753
170,5,53,grin,11.865818,7.4483747
171,5,54,grin,10.68822,7.7614727
172,5,55,grin,10.736541,7.8027873
173,5,56,grin,10.662282,7.820538
174,5,57,grin,12.046519,7.6142793
175,5,58,grin,12.1043005,7.6957707
176,5,59,grin,12.30477,8.008979
177,5,60,grin,12.406088,8.241851
178,5,61,grin,12.554052,8.064299
179,5,62,grin,12.442022,8.062346
180,5,63,grin,12.494863,8.014726
181,5,64,grin,12.48456,8.144395
182,5,65,grin,10.774388,7.7272067
183,5,66,grin,10.828498,7.7423477
184,5,67,grin,10.8366995,7.765203
185,5,68,grin,12.448958,8.185318
186,5,69,grin,12.406226,8.202449
187,5,70,grin,12.39013,8.202734
188,5,71,grin,12.391618,8.17439
189,5,72,grin,12.30425,8.135224
190,5,73,grin,11.259877,7.379306
191,5,74,grin,11.197408,7.392259
192,5,75,grin,11.216362,7.396975
193,5,76,grin,10.916408,7.7261972
194,5,77,grin,10.808467,7.7251787
195,5,78,grin,10.8126135,7.7431154
196,5,79,grin,12.442607,8.269418
197,5,80,grin,12.441172,8.2424135
198,5,81,grin,12.513435,8.17692
199,5,82,grin,12.456918,8.143431
200,5,83,grin,12.455154,8.142344
201,5,84,grin,12.402097,8.205646
202,5,85,grin,12.361401,8.20632
203,5,86,grin,12.327477,8.334305
204,5,87,grin,12.096324,8.352818
205,5,88,grin,12.2170315,8.4466095
206,5,89,grin,12.215217,8.431069
207,5,90,grin,12.45021,8.347019
208,5,91,grin,12.444711,8.345081
209,5,92,grin,12.302638,8.372062
210,5,93,grin,12.0855255,8.350748
211,5,94,grin,11.928538,8.266849
212,5,95,grin,11.451664,8.559537
213,5,96,grin,11.407981,8.559464
214,5,97,grin,11.342692,9.024684
215,5,98,grin,11.524726,7.9274087
216,5,99,grin,11.369287,8.22887
217,5,100,grin,10.592548,8.071479
218,5,101,upset,10.434753,8.106763
219,5,102,upset,9.089236,10.651326
220,5,103,upset,9.083349,10.658972
221,5,104,upset,9.097637,10.648621
222,5,105,upset,9.009681,10.650732
223,5,106,upset,9.027665,10.621625
224,5,107,pleased,10.483574,8.343211
225,5,108,shocked,10.595714,8.212093
226,5,109,pleased,10.807924,8.083887
227,5,111,contempt,11.004573,6.721134
228,5,112,grin,11.7682905,5.726413
229,5,113,grin,11.834464,5.7897778
230,5,114,grin,11.925546,6.2551656
231,5,115,grin,12.068165,6.412314
232,5,116,grin,12.579346,6.044238
233,5,117,grin,12.952487,6.0852523
234,5,118,grin,13.437047,6.0385747
235,5,119,grin,13.5271435,5.9280434
236,5,120,disgust,13.467525,5.9511437
237,4,1,grin,10.157397,8.6335
238,4,2,grin,10.448917,6.9939756
239,4,3,grin,10.422558,7.1939034
240,4,4,grin,10.207229,6.5821805
241,4,5,grin,10.217756,6.683035
242,4,6,grin,10.184905,6.639567
243,4,7,grin,10.190316,6.5444274
244,4,8,grin,10.172086,6.64637
245,4,9,grin,10.161562,6.7095065
246,4,10,grin,10.202511,6.867308
247,4,11,grin,10.173799,6.7648535
248,4,12,grin,10.23573,6.9344635
249,4,13,grin,10.235396,6.799745
250,4,14,grin,10.204145,6.7399974
251,4,15,grin,9.873662,5.719582
252,4,16,grin,9.8982315,5.7710276
253,4,17,grin,9.958271,5.7746325
254,4,18,grin,9.980206,5.8104067
255,4,19,grin,9.955262,5.7785225
256,4,20,grin,9.914396,5.7197104
257,4,21,grin,9.886834,5.7201853
258,4,22,grin,9.923021,5.733195
259,4,23,grin,10.219814,6.6602006
260,4,24,grin,10.223436,6.6219597
261,4,25,grin,10.212895,6.487349
262,4,26,grin,10.037729,5.4256597
263,4,27,grin,9.995313,5.445092
264,4,28,grin,10.112073,5.824367
265,4,29,grin,10.226045,5.9461594
266,4,30,grin,10.245765,5.9314575
267,4,31,grin,10.157755,5.9374638
268,4,32,grin,10.004558,5.846256
